packet_size_kb,connection_time_s,is_attack
289.8614498,25.37280988,0
184.2257313,11.66108297,0
33.81327363,7.54414535,0
220.9382128,13.30283119,0
241.6481093,20.15689303,0
11.07242582,4.871810413,0
64.27129954,3.997132018,1
213.5229164,39.42745312,0
296.1316463,11.21799392,0
220.0571146,9.758005333,0
373.6427664,21.45392926,1
41.00127928,32.31686219,0
110.7473899,9.581738005,0
273.2495186,4.491071789,0
119.6598005,38.50164707,0
181.3804937,37.72209719,0
111.0282502,49.73807024,1
82.58596873,159.5778268,1
115.2814786,133.7098485,1
115.4893351,34.53782669,0
232.8122069,36.33980885,0
178.7240965,129.4802343,1
185.4966039,1.354024509,0
134.8449857,21.61975545,0
233.6641829,8.962101638,0
179.7622978,9.229046803,0
6.629024551,5.881305396,0
271.7353988,34.84085668,1
132.4237805,1.114223157,0
213.8814104,18.94137551,0
276.9528993,12.99579699,0
185.3573712,150.0588068,1
63.62112605,9.658519438,0
85.04796437,10.1461136,0
360.4802485,130.1580423,1
235.3777024,178.7331714,1
357.0687737,75.4400132,1
181.6042528,2.635978176,0
26.84317226,30.48862265,0
51.02549893,12.50819464,0
110.2422314,12.10504456,0
271.3070407,19.5755731,1
365.14632,116.6500653,1
39.18137256,29.15583231,0
26.99243989,2.154002175,0
172.2233511,145.3230667,1
232.5247523,26.91820834,0
166.2795324,0.377390008,0
18.34205023,14.60882113,0
245.5611214,19.62916514,0
46.15068889,25.49277541,0
129.2735213,47.18105396,1
256.8125301,34.67918613,1
237.5211394,180.0151751,1
284.9212335,32.34400314,0
156.6991593,30.24649043,0
58.63836533,30.86159048,0
169.3732229,132.5497398,1
291.0274652,16.75469903,0
291.1234064,28.55846701,0
67.64003765,22.49496018,0
59.10433041,19.80244429,0
322.9564411,37.89080384,1
260.521963,25.53854311,0
87.87568036,11.46513573,0
90.91259636,4.404867937,0
81.34009457,9.194612985,0
243.4772177,34.87127755,0
31.10528811,20.79974581,0
22.13466559,29.21128652,0
280.9944161,51.06595975,1
250.570579,30.45532344,0
287.1475266,111.1005565,1
271.58551,100.0259857,1
59.53206438,20.47881737,0
236.6269086,10.04675994,0
151.0771885,35.85404287,0
206.8487428,35.71310404,0
158.4200662,34.44315027,0
15.14461373,12.78833865,0
182.3289285,35.49978843,0
98.13233045,170.2970119,1
94.75146167,20.95703989,0
285.4607204,24.96959526,0
63.90376574,16.47427863,0
165.0953445,1.571789199,0
91.18267132,12.64280364,0
342.3558735,4.811819168,1
96.95476745,32.73878916,0
89.71573243,114.9567949,1
364.0255153,102.0195073,1
134.6483018,127.3343093,1
336.0277701,194.6830793,1
62.81494441,28.15045646,0
268.9740684,13.57084534,0
244.3202841,80.44025176,1
139.5406453,36.31190231,0
159.8031473,17.15888663,0
46.57264637,24.42161693,0
24.19021993,37.19493633,0
162.2730227,22.98989394,1
55.30461649,6.532729361,0
81.60141952,122.4665248,1
249.4775652,19.94021539,0
291.8282083,67.10374054,1
100.9724476,38.8741051,0
168.6604269,41.4628686,1
275.8104766,143.2993066,1
282.1521878,4.882628157,0
304.0844876,58.3121554,1
363.988591,7.790245387,1
113.0767438,20.39197058,0
94.86106191,32.16651587,0
140.2795697,55.24486643,1
377.8554961,130.9776811,1
51.0183835,13.07481455,0
200.4440739,17.14160077,0
229.2325704,131.4363681,1
18.70287175,3.171498402,0
55.80574012,139.3033539,1
